Name,Team,Season,GP,TOI,GF%,SF%,FF%,CF%,xGF%,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60,G±/60,S±/60,F±/60,C±/60,xG±/60,PTS,PTS%,PP%,PK%,S%,SV%
Ducks,ANA,19-20,44,2008.7,46.04,47.84,47.61,47.91,47.96,2.23,2.62,28.76,31.36,41.24,45.38,54.01,58.71,2.32,2.51,-0.38,-2.59,-4.14,-4.7,-0.2,39,0.464,15.52,78.95,8.5,0.902
Coyotes,ARI,19-20,43,2124.27,52.29,49.54,49.12,49.11,49.38,2.37,2.16,30.64,31.21,42.16,43.67,55.46,57.47,2.24,2.29,0.21,-0.57,-1.51,-2.01,-0.06,52,0.591,19.85,83.06,9,0.922
Bruins,BOS,19-20,43,2058.53,56.36,50.49,50.31,50.97,49.96,2.55,1.97,29.55,28.97,41,40.49,54.6,52.51,2.04,2.04,0.58,0.58,0.51,2.09,0,59,0.686,27.34,85.71,10.5,0.921
Sabres,BUF,19-20,42,2068.78,51.43,49.19,49.28,49.55,48,2.45,2.32,29.33,30.3,40.11,41.28,51.6,52.52,2.07,2.24,0.14,-0.97,-1.17,-0.93,-0.17,45,0.523,17.69,74.62,9.7,0.901
Hurricanes,CAR,19-20,42,1977.02,50.76,54.5,55.22,55.62,53.89,2.47,2.39,33.28,27.78,46.62,37.81,61.22,48.84,2.81,2.41,0.07,5.5,8.81,12.38,0.41,49,0.557,19.08,82.27,8.7,0.905
Blue Jackets,CBJ,19-20,44,2025.47,50.34,53.06,51.96,49.59,53.83,2.15,2.13,32.46,28.72,42.76,39.54,54.41,55.32,2.33,2,0.03,3.75,3.22,-0.91,0.33,50,0.595,23.53,81.58,9.6,0.902
Flames,CGY,19-20,43,2127.2,44.91,48.54,49.27,50.02,49.53,2.02,2.48,29.59,31.38,42.56,43.83,57.48,57.45,2.29,2.33,-0.46,-1.78,-1.27,0.04,-0.04,44,0.512,15.33,81.4,9.4,0.911
Blackhawks,CHI,19-20,42,2085.68,47.66,45.65,46.86,47.47,45.98,2.44,2.68,29.87,35.56,39.75,45.09,54.74,60.58,2.34,2.75,-0.24,-5.69,-5.33,-5.84,-0.41,54,0.643,20,78.63,11.3,0.911
Avalanche,COL,19-20,42,1959,60.32,51.66,51.63,51.99,51.55,3.31,2.18,33.5,31.34,44.13,41.34,59.88,55.29,2.41,2.27,1.13,2.16,2.79,4.58,0.15,46,0.548,16.79,80.83,7.9,0.908
Stars,DAL,19-20,43,1997.78,52.79,49.62,48.87,48.84,52.84,2.16,1.93,29.52,29.97,39.81,41.65,54.6,57.19,2.45,2.18,0.23,-0.45,-1.85,-2.59,0.26,52,0.619,18.03,82.88,8.8,0.924
