Team,Season,GP,PTS,PTS%,GF,GA,PP%,PK%,S%,SV%,TOI,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60
Anaheim Ducks,18-19,82,80,0.488,196,248,16.98,79.7,8.6,0.909,4075.73,2.09,2.38,27.58,31.59,39.75,45.56,53.32,60.47,2.26,2.77
Arizona Coyotes,18-19,82,86,0.524,209,220,16.28,84.96,8.3,0.913,4078.72,2.05,2.41,29.99,30.49,41.65,42.98,56.24,58.93,2.35,2.41
Boston Bruins*,18-19,82,107,0.652,257,212,25.9,79.92,9.6,0.912,4125.25,2.47,1.94,32.21,27.61,44.66,38.16,58.47,50.91,2.45,2.17
Buffalo Sabres,18-19,82,76,0.463,221,268,19.49,80.93,8.2,0.901,4142.15,2.28,2.86,31.5,32.97,42.96,44.22,55.26,56.75,2.24,2.5
Calgary Flames*,18-19,82,107,0.652,289,223,19.27,79.67,10.9,0.903,4009.82,2.88,2.35,31.91,27.8,44.75,39.15,60.7,51.73,2.67,2.34
Carolina Hurricanes*,18-19,82,99,0.604,243,221,17.81,81.59,8.6,0.906,4079.05,2.48,2.32,34.04,27.89,48.95,39.69,64.94,52.46,3.07,2.43
Chicago Blackhawks,18-19,82,84,0.512,267,291,20.17,72.73,10,0.898,4131.67,2.81,2.85,31.71,33.98,41.65,44.77,56.83,58.95,2.38,2.84
Colorado Avalanche*,18-19,82,90,0.549,258,244,22.03,78.68,9.6,0.907,3952.47,2.44,2.44,31.96,30.8,42.62,41.95,57.62,57.6,2.36,2.37
Columbus Blue Jackets*,18-19,82,98,0.598,256,231,15.38,85,9.9,0.904,4172.55,2.79,2.57,31.38,29.52,43.02,40.62,55.38,54.13,2.54,2.4
Dallas Stars*,18-19,82,93,0.567,209,200,21.03,82.77,8.3,0.923,4124.15,2.12,2.03,29.68,30.5,39.8,42.07,54.17,57.53,2.4,2.32
Detroit Red Wings,18-19,82,74,0.451,224,272,18.06,77.14,9.4,0.901,4150.83,2.26,2.68,28.08,33.05,38.8,45.31,51.99,58.96,2.24,2.73
Edmonton Oilers,18-19,82,79,0.482,229,271,21.17,74.8,9.6,0.896,4138.8,2.25,2.72,28.29,31.42,38.89,43,52.34,57.54,2.32,2.61
Florida Panthers,18-19,82,86,0.524,264,273,26.77,81.3,9.8,0.891,4108.18,2.48,2.86,31.11,30.59,42.11,42.23,54.75,56.3,2.33,2.56
Los Angeles Kings,18-19,82,71,0.433,199,259,15.84,76.52,8.4,0.9,4159.4,2.11,2.52,27.41,30.89,38.97,44.19,52.49,58.86,2.24,2.49
Minnesota Wild,18-19,82,83,0.506,210,233,20.33,81.67,8.2,0.904,4077.03,2.12,2.4,30.95,28.41,42.73,40.72,56.8,55.97,2.35,2.03
Montreal Canadiens,18-19,82,96,0.585,246,236,13.25,80.91,8.8,0.907,4078.15,2.84,2.57,34.8,30.32,47.44,41.08,65.78,55.35,2.68,2.34
Nashville Predators*,18-19,82,100,0.61,236,212,12.94,82.07,8.8,0.914,4015.85,2.57,2.19,32.63,29.84,44.99,40.95,59.61,54.42,2.51,2.43
New Jersey Devils,18-19,82,72,0.439,219,271,17.72,84.31,8.8,0.895,4034.38,2.23,2.88,29.21,32.16,39.65,45.19,50.88,59.56,2.3,2.47
New York Islanders*,18-19,82,103,0.628,223,191,14.54,79.91,9.4,0.925,4154.03,2.42,1.9,28.3,29.32,38.99,40.86,52.94,56.06,2.41,2.28
New York Rangers,18-19,82,78,0.476,221,267,19.38,78.2,9.2,0.904,4096.52,2.23,2.67,27.96,32.83,38.27,45.64,50.35,60.92,2.41,2.72
