Season,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
18-19,Anaheim Ducks,27.5,82,35,37,10,80,0.488,196,248,3,3,-0.63,0.01,5.41,155,183,36,212,16.98,55,271,79.7,5,10,9,7.2,2271,8.6,2725,0.909,4
18-19,Arizona Coyotes,27.2,82,39,35,8,86,0.524,209,220,4,3,-0.14,-0.02,5.23,151,177,42,258,16.28,34,226,84.96,16,9,7.1,8.2,2522,8.3,2526,0.913,6
18-19,Boston Bruins*,28.7,82,49,24,9,107,0.652,257,212,2,3,0.52,-0.01,5.72,185,148,65,251,25.9,49,244,79.92,7,15,9.7,9.9,2680,9.6,2416,0.912,9
18-19,Buffalo Sabres,26.6,82,33,39,10,76,0.463,221,268,5,3,-0.51,0.04,5.96,172,218,46,236,19.49,41,215,80.93,3,9,7,7.5,2697,8.2,2704,0.901,2
18-19,Calgary Flames*,27.7,82,50,25,7,107,0.652,289,223,0,4,0.7,-0.06,6.24,218,166,53,275,19.27,50,246,79.67,18,7,8.5,9.8,2656,10.9,2302,0.903,3
18-19,Carolina Hurricanes*,26.8,82,46,29,7,99,0.604,243,221,2,2,0.26,-0.01,5.66,191,169,44,247,17.81,44,239,81.59,8,8,7.5,8.7,2822,8.6,2343,0.906,6
18-19,Chicago Blackhawks,28.5,82,36,34,12,84,0.512,267,291,3,1,-0.25,0.02,6.8,213,221,48,238,20.17,63,231,72.73,6,7,7.3,7.1,2669,10,2852,0.898,2
18-19,Colorado Avalanche*,27,82,38,30,14,90,0.549,258,244,2,2,0.17,-0.01,6.12,186,181,63,286,22.03,58,272,78.68,9,5,9.4,9.6,2676,9.6,2619,0.907,5
18-19,Columbus Blue Jackets*,26.6,82,47,31,4,98,0.598,256,231,2,1,0.31,-0.01,5.94,214,195,34,221,15.38,30,200,85,8,6,6.2,6.8,2592,9.9,2418,0.904,9
18-19,Dallas Stars*,28.3,82,43,32,7,93,0.567,209,200,1,2,0.09,0,4.99,160,157,45,214,21.03,41,238,82.77,4,2,7.7,7.3,2519,8.3,2591,0.923,10
18-19,Detroit Red Wings,29.3,82,32,40,10,74,0.451,224,272,3,5,-0.57,0.04,6.05,178,209,39,216,18.06,56,245,77.14,7,7,7.9,7.3,2394,9.4,2761,0.901,2
18-19,Edmonton Oilers,27.2,82,35,38,9,79,0.482,229,271,3,3,-0.51,0.01,6.1,172,202,47,222,21.17,62,246,74.8,10,7,9.2,7.7,2392,9.6,2599,0.896,5
18-19,Florida Panthers,28,82,36,32,14,86,0.524,264,273,3,7,-0.14,0.02,6.55,189,217,72,269,26.77,43,230,81.3,3,13,8.4,9.2,2705,9.8,2516,0.891,1
18-19,Los Angeles Kings,29.3,82,31,42,9,71,0.433,199,259,3,4,-0.73,0.02,5.59,160,192,35,221,15.84,54,230,76.52,4,13,8.1,8,2358,8.4,2578,0.9,5
18-19,Minnesota Wild,29.5,82,37,36,9,83,0.506,210,233,1,4,-0.3,0.02,5.4,156,185,49,241,20.33,44,240,81.67,5,4,8,8.5,2567,8.2,2419,0.904,2
18-19,Montreal Canadiens,27.9,82,44,30,8,96,0.585,246,236,3,0,0.16,0,5.88,210,186,31,234,13.25,46,241,80.91,5,4,8.3,8.3,2796,8.8,2548,0.907,4
18-19,Nashville Predators*,28.9,82,47,29,6,100,0.61,236,212,4,2,0.31,-0.01,5.46,195,159,33,255,12.94,45,251,82.07,8,8,8.4,9.4,2677,8.8,2460,0.914,7
18-19,New Jersey Devils,27.5,82,31,41,10,72,0.439,219,271,3,4,-0.61,0.04,5.98,164,221,45,254,17.72,40,255,84.31,10,10,9.1,9,2488,8.8,2592,0.895,6
18-19,New York Islanders*,28.4,82,48,27,7,103,0.628,223,191,5,5,0.38,-0.01,5.05,184,146,33,227,14.54,44,219,79.91,6,1,7.9,7.7,2360,9.4,2534,0.925,11
18-19,New York Rangers,27.4,82,32,36,14,78,0.476,221,267,6,5,-0.52,0.03,5.95,170,205,44,227,19.38,58,266,78.2,7,4,10.4,8.5,2393,9.2,2774,0.904,2
18-19,Ottawa Senators,27.3,82,29,47,6,64,0.39,242,301,0,1,-0.69,0.05,6.62,192,248,46,226,20.35,45,216,79.17,4,8,8.5,8.3,2429,10,2931,0.897,4
18-19,Philadelphia Flyers,26.6,82,37,37,8,82,0.5,241,280,3,1,-0.42,0.03,6.35,197,218,40,234,17.09,51,237,78.48,4,11,8.9,8.3,2583,9.3,2665,0.895,3
18-19,Pittsburgh Penguins*,28.4,82,44,26,12,100,0.61,271,238,2,3,0.38,-0.01,6.21,203,178,56,228,24.56,45,222,79.73,12,15,8.4,8,2731,9.9,2729,0.913,7
18-19,San Jose Sharks*,29.4,82,46,27,9,101,0.616,289,258,0,3,0.3,-0.04,6.67,223,204,57,241,23.65,45,234,80.77,9,9,9.1,9.4,2708,10.7,2323,0.889,5
18-19,St. Louis Blues*,28,82,45,28,9,99,0.604,244,220,3,3,0.28,-0.01,5.66,189,170,50,237,21.1,43,232,81.47,5,7,7.6,8.2,2604,9.4,2345,0.906,9
